parcel_id,municipal_plot_id,conflict_count,recommended_action,explanation,confidence_score,confidence_level,evidence,review_status,officer_action,officer_comment,priority
P0001,M-8000,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0002,M-8001,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0003,M-8002,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0004,M-8003,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0005,M-8004,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0006,M-8005,1,REVIEW OWNER,Owner names are similar but require verification.,80,MEDIUM CONFIDENCE,Owner information differs or requires verification between datasets.,PENDING,PENDING,,MEDIUM
P0007,M-8006,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0008,M-8007,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0009,M-8008,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0010,M-8009,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0011,M-8010,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0012,M-8011,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0013,M-8012,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0014,M-8013,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0015,M-8014,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0016,M-8015,1,REVIEW OWNER,Owner records differ. Cadastral: Suresh P.; Municipal: Priya Singh.,80,MEDIUM CONFIDENCE,Owner information differs or requires verification between datasets.,PENDING,PENDING,,MEDIUM
P0017,M-8016,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0018,M-8017,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0019,M-8018,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0020,M-8019,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0021,M-8020,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0022,M-8021,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0023,M-8022,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0024,M-8023,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0025,M-8024,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0026,M-8025,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0027,M-8026,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0028,M-8027,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0029,M-8028,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0030,M-8029,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0031,M-8030,1,REVIEW AREA,Recorded parcel areas differ by 36.00 square metres.,82,MEDIUM CONFIDENCE,A difference was detected in the recorded parcel area.,PENDING,PENDING,,MEDIUM
P0032,M-8031,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0033,M-8032,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0034,M-8033,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0035,M-8034,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
